Year;Age;Team Value;transfer_expense;transfer_receive;same_number_of_players_percantage;"
domestic_balance";Forward_value;Goalkeper_value;last_year_champion;is_in_europe;comes_from_bottom;is_coach_champion;coach_age;is_coach_turkish;points_per_game
2005;24.81;90.6;16.04;0;0.5;0.78;12.8;4;1;1;0;1;52;0;2.35
2005;24.66;63.6;3.29;2;0.55;0.76;8;1.8;0;0;0;0;43;1;2.26
2005;25.97;79.65;7.15;7.2;0.44;0.72;8;3.5;0;0;0;0;39;0;2.24
2005;26.48;76.25;13.7;1;0.42;0.82;7;2.5;0;0;0;1;53;0;2.03
2005;25.45;46.95;0;3.3;0.42;0.88;5;2.5;0;0;0;0;41;1;1.5
2005;25.23;27.24;0;1.5;0.37;0.77;2.6;1.2;0;0;0;0;46;1;1.44
2005;25.38;32.75;0.45;0;0.08;0.78;2.2;1.2;0;0;1;1;48;1;1.41
2005;27.7;37.25;0.05;0;0.38;0.72;3.5;1;0;0;0;0;59;1;1.32
2005;24.34;38.6;0;3;0.38;0.81;4.5;2;0;0;0;0;38;1;1.29
2005;26;22.85;0.2;0.825;0.28;0.76;2.5;1.25;0;0;0;0;41;1;1.26
2005;25.6;33.95;0;0;0.22;0.72;2;1.5;0;0;0;0;39;1;1.26
2005;25.3;34.65;0.2;0.1;0.41;0.72;2.5;1;0;0;0;0;34;1;1.12
2005;25;32.76;0.95;0;0.43;0.76;2;1.2;0;0;0;0;41;1;1.12
2005;27;22.93;0.05;0;0.24;0.77;2.5;0.75;0;0;0;0;50;1;1
2005;26.1;30.03;0.205;0;0.24;0.79;2.5;1.5;0;0;1;0;34;1;1
2005;25.2;14.85;0;0;0.31;0.78;1.5;1.2;0;0;1;0;40;1;0.94
2005;25.6;11.9;0;0;0.38;0.74;3;1.5;0;0;0;0;52;1;0.79
2005;26.7;27.55;0;0;0.44;0.77;2;1.5;0;0;0;0;47;1;0.56
2006;24.6;64.95;4.75;1;0.43;0.83;7.25;2.5;0;0;0;1;51;0;2.44
2006;25.2;73;9.2;0;0.76;0.8;9;2.6;1;1;0;1;53;0;2.39
2006;25;69.65;10.75;9.07;0.55;0.78;3.4;1.5;0;1;0;0;42;1;1.59
2006;24.7;64.14;3.29;2.2;0.66;0.74;8;1.8;0;0;0;1;43;1;1.53
2006;23.6;23.43;0.205;0;0.74;0.82;2.5;1.5;0;0;0;0;41;1;1.5
2006;24.4;25.68;1.65;2.45;0.7;0.74;1.5;1.5;0;0;0;0;41;1;1.5
2006;26.4;28.52;0.5;1.2;0.2;0.77;3.5;1;0;0;0;0;40;1;1.35
2006;26.1;21.15;0.33;0;0.24;0.74;1.5;1.8;0;0;1;0;56;0;1.26
2006;25.8;17.42;0.5;0.035;0.24;0.74;1.3;0.7;0;0;0;0;54;1;1.21
2006;26.8;22.76;0.35;0;0.18;0.76;2.25;0.85;0;0;1;0;42;1;1.18
2006;24.2;32.2;0.6;0;0.31;0.72;2.5;2;0;0;0;0;47;0;1.18
2006;24.8;22.87;6.8;0;0.34;0.78;1.5;0.75;0;0;1;0;43;1;1.18
2006;25.5;27.16;0.625;0.05;0.28;0.77;3;0.85;0;0;0;0;45;1;1.15
2006;25.4;32.58;0.95;0;0.39;0.79;2.6;1;0;0;0;1;49;1;1.15
2006;25.9;29.21;0;1;0.27;0.74;2.2;1.2;0;0;0;0;39;1;1.09
2006;25.3;25.08;0.95;0;0.27;0.73;2.75;0.75;0;0;0;0;44;1;1.06
2006;25.4;25.79;0.125;0;0.38;0.7;2.5;1;0;0;0;0;50;1;1.06
2006;27.8;27.95;0.15;0.15;0.32;0.79;1.5;1.25;0;0;0;0;47;0;0.85
2007;25.4;112.2;24.7;12.2;0.76;0.79;12.5;2.2;0;1;0;1;53;0;2.06
2007;23.8;70.07;15.95;3.55;0.45;0.77;4.9;3.4;0;1;0;1;51;0;1.79
2007;25.4;76.88;3.8;0.2;0.55;0.82;6.6;2.73;1;1;0;1;52;0;1.65
2007;26.3;67.4;7.5;11.84;0.41;0.69;3.6;1.8;0;0;0;0;45;0;1.53
2007;25.4;35.65;0;0.03;0.45;0.71;4;1.2;0;0;0;0;36;1;1.5
2007;24;35.53;1.07;2.13;0.58;0.74;3;2;0;0;0;0;42;1;1.41
2007;26.5;37.15;0.175;0.05;0.45;0.71;2.5;2;0;0;0;0;34;1;1.41
2007;25.6;36.65;0;0.085;0.22;0.8;2.75;2.5;0;0;1;0;51;1;0.64
2007;24.9;39.9;0.2;0;0.35;0.76;2.75;2;0;0;0;0;41;1;1.38
2007;25.8;36.45;3.05;0.97;0.38;0.66;2;1.25;0;0;0;0;40;1;1.32
2007;25.2;29.95;1.7;0.75;0.39;0.87;2.5;1;0;0;1;0;46;1;1.32
2007;25.5;33.4;0.8;0;0.39;0.71;2;2.5;0;0;0;1;46;0;1.26
